Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup,Age Group
naaaart,AfAm - Picture,ItemCollection,Media,Art,Miscellaneous,,Adult
cs6o,CS 6 - Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
cccd,CC-Children's Compact Discs,ItemCollection,Media,Audio Disc,Nonfiction,,Juvenile
xrbk,Part of Book: Analytic Record,ItemType,Other,Book,Analytic,,Adult
drmfc,Microfiche: Dummy Periodical,ItemType,Other,Film,Temporary,,Adult
capfxms,CA9-Play File: Christmas Plays,ItemCollection,Print,,Nonfiction,,Adult
ccser,CC-Children's Series,ItemCollection,Print,Book,Fiction,,Juvenile
bccdrom,CD-ROM: Adult/Formerly No Fine,ItemType,Media,Data Disc,Miscellaneous,,Adult
cadesk7,"CA7-RefDesk, BST",ItemCollection,Print,Book,Reference,,Adult
caperf,CA7-Folio Oversize Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
nacdr,"NA-CD-ROM, Nonfiction",ItemCollection,Media,Data Disc,Nonfiction,,Adult
jccas,Audio Tape: Juv,ItemType,Media,Audio Tape,Miscellaneous,,Juvenile
caseam,CA8-Seattle Music,ItemCollection,Print,Book,Miscellaneous,,Adult
cs7ac,CS 7 - Aero Cross,ItemCollection,Print,Book,Miscellaneous,,Adult
camf,CA6-Microform,ItemCollection,Media,Film,Miscellaneous,,Adult
drper,Magazine: Dummy Record,ItemType,Other,Periodical,Temporary,,Adult
jrcas,Audio Tape: Ref Juv,ItemType,Media,Audio Tape,Reference,,Juvenile
ncpic,NC--Children's Picture Books,ItemCollection,Print,Book,Fiction,Picture,Juvenile
ccbot,CC-Children's Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Juvenile
cadesk5,"CA5-RefDesk, GRS",ItemCollection,Print,Book,Reference,,Adult
cs1lewr,CS 1 - Lang Ref,ItemCollection,Print,Book,Reference,,Adult
ccdesk,"CC-RefDesk, CHI",ItemCollection,Print,Book,Reference,,Juvenile
caeslb,CA1-ESL Beginning,ItemCollection,Print,Book,Miscellaneous,,Adult
xrcdrom,Part of CD-ROM: Analytic Record,ItemType,Other,Data Disc,Analytic,,Adult
ncln,NC-Children's Languages,ItemCollection,Print,Book,Language,,Juvenile
caperm,CA6-Microfilm-Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
cs9ro,CS 9 - Ref Oversize,ItemCollection,Print,Book,Reference,,Adult
jrrec,Record: Ref Juv,ItemType,Media,Audio Disc,Reference,,Juvenile
unk,Unknown itype for item creation,ItemType,Other,,Temporary,,Adult
caperal,CA6-Ref. Alcove Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
wcbk,WTBBL--Children's Collection,ItemCollection,Print,Book,WTBBL,,Juvenile
ncbot,NC-Children's Bks on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Juvenile
ch1mcpr,CH1 - MOB Pro/Storytelling,ItemCollection,Print,Book,Miscellaneous,,Juvenile
nynf,NY-Teen - Nonfiction,ItemCollection,Print,Book,Nonfiction,,Teen
caeslc,CA1-ESL Citizenship,ItemCollection,Print,Book,Miscellaneous,,Adult
ncfic,NC-Children's Fiction,ItemCollection,Print,Book,Fiction,,Juvenile
narec,NA-Phono Records,ItemCollection,Media,Audio Disc,Nonfiction,,Adult
naeslar,NA-Eng Second Lang (Adv REF),ItemCollection,Print,Book,Reference,,Adult
nalasr,NA-Laser Disc - Ref,ItemCollection,Media,Video Disc,Reference,,Adult
nahome,NA-Home Improvement,ItemCollection,Print,Book,Nonfiction,,Adult
acslide,Slides: Adult/YA,ItemType,Media,Film,Miscellaneous,,Adult
naflpdr,USB Floppy Drive,ItemCollection,Equipment,,Miscellaneous,,Adult
cs7rf,CS 7 - Ref Folio,ItemCollection,Print,Book,Reference,,Adult
nyln,NY-Teen Languages Collection,ItemCollection,Print,Book,Language,,Teen
caesl,CA1-ESL,ItemCollection,Print,Book,Miscellaneous,,Adult
arnp,Newspaper: Ref Adult/YA,ItemType,Print,Periodical,Reference,,Adult
dcillb,Ill Borrowed,ItemType,Other,,Interlibrary Loan,,Adult
drcdrom,CD-ROM: Dummy Holding,ItemType,Other,Data Disc,Temporary,,Adult
cs1mapc,CS 1 - MOB Pictorials,ItemCollection,Print,Book,Miscellaneous,,Adult
carefo,"CA-Ref, Oversize",ItemCollection,Print,Book,Reference,,Adult
caref9f,CA9-HTM Folio Reference,ItemCollection,Print,Book,Reference,,Adult
jcbk,Book: Juv,ItemType,Print,Book,Miscellaneous,,Juvenile
nastkr,NA-Stacks - Ref.,ItemCollection,Print,Book,Reference,,Adult
caperlr,CA3-Living Room Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
ccref,CC-Children's Reference,ItemCollection,Print,Book,Reference,,Juvenile
naconr,NA-Consumer - Ref.,ItemCollection,Print,Book,Reference,,Adult
caaero,Cs9-AERO Reference,ItemCollection,Print,Book,Reference,,Adult
nalh,NA-Local History/Archives,ItemCollection,Print,Book,Miscellaneous,,Adult
nasbr,NA-Small Business - Reference,ItemCollection,Print,Book,Reference,,Adult
nacdnf,"NA-Books on CD, Nonfiction",ItemCollection,Media,Audiobook Disc,Nonfiction,,Adult
cs9o,CS 9 - Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
cs7r,CS 7 - Ref,ItemCollection,Print,Book,Reference,,Adult
calncd,"CA1-Compact Disc, Language",ItemCollection,Media,Audio Disc,Language,,Adult
nacur,NA-Current,ItemCollection,Print,Book,Miscellaneous,,Adult
nadvd,"NA-DVD, Fiction",ItemCollection,Media,Video Disc,Fiction,,Adult
nyser,NY-Teen Series,ItemCollection,Print,Book,Fiction,,Teen
capop,CA-Pop-Up Branches,ItemCollection,Print,Book,Miscellaneous,,Adult
ch1mcse,CH1 - Children's Seasonal,ItemCollection,Print,Book,Miscellaneous,,Juvenile
ncref,NC--Children's Reference,ItemCollection,Print,Book,Reference,,Juvenile
naesla,NA-Eng Second Lang (Adv),ItemCollection,Print,Book,Miscellaneous,,Adult
navidnf,"NA-Video, Nonfiction (VHS)",ItemCollection,Media,Video Tape,Nonfiction,,Adult
ccdvd,"CC-Children's DVD, Fiction",ItemCollection,Media,Video Disc,Fiction,,Juvenile
naaavf,AfAm - Vertical File,ItemCollection,Media,Kit,Miscellaneous,,Adult
naeslt,NA-ESL-Materials For Teachers,ItemCollection,Print,Book,Miscellaneous,,Adult
jcrec,Record: Juv,ItemType,Media,Audio Disc,Miscellaneous,,Juvenile
cagrf,CA 9 Ref Genealogy Folio,ItemCollection,Print,Book,Reference,,Adult
napost,NA-Poster,ItemCollection,Media,Art,Miscellaneous,,Adult
sebk,Online Resource,ItemCollection,Electronic,,Miscellaneous,,Adult
ucfold,Uncataloged Folder,ItemType,Print,Kit,Uncataloged,,Adult
caspec,CA7-Specifications,ItemCollection,Print,Book,Miscellaneous,,Adult
caln,CA1-Language,ItemCollection,Print,Book,Language,,Adult
xrvhs,Video (VHS): Analytic Record,ItemType,Other,Video Tape,Analytic,,Adult
cadesk8,"CA8-RefDesk, ARL",ItemCollection,Print,Book,Reference,,Adult
napf,NA-Play File,ItemCollection,Print,,Nonfiction,,Adult
acbk,Book: Adult/YA,ItemType,Print,Book,Miscellaneous,,Adult
sedoc,Gov Docs - Online Only,ItemCollection,Electronic,Document,Miscellaneous,,Adult
canew,CA3-New Adult Books,ItemCollection,Print,Book,Fiction,,Adult
jrvhs,Video (VHS): Ref Juv,ItemType,Media,Video Tape,Reference,,Juvenile
camapr,CA9-Map Room Atlases,ItemCollection,Print,Book,Reference,,Adult
nahol,NA-Holiday - Adult,ItemCollection,Print,Book,Fiction,Holiday,Adult
naaavid,AfAm - Videos,ItemCollection,Media,Video Tape,Miscellaneous,,Adult
areq,Equipment: Ref Adult/YA,ItemType,Equipment,,Reference,,Adult
nccas,NC-Children's Cassettes,ItemCollection,Media,Audio Tape,Miscellaneous,,Juvenile
cadvdr,"CA6-DVD, Reference (CS6)",ItemCollection,Media,Video Disc,Reference,,Adult
naper,NA-Periodical,ItemCollection,Print,Periodical,Miscellaneous,,Adult
walp,WTBBL-Large Print,ItemCollection,Print,Book,WTBBL,Large Print,Adult
cavidnf,"CA7-Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,,Adult
ncef,NC-Easy Fiction,ItemCollection,Print,Book,Fiction,,Juvenile
nasf,NA-Sci-Fic/Fantasy,ItemCollection,Print,Book,Fiction,,Adult
naaafic,AfAm - Fiction,ItemCollection,Print,Book,Fiction,,Adult
FA-BI,Fast Add - Bib_Item,ItemCollection,Other,,Temporary,,Adult
cs9r,CS 9 - Ref,ItemCollection,Print,Book,Reference,,Adult
cagro,CA 9 Ref Genealogy Oversize,ItemCollection,Print,Book,Reference,,Adult
jlvhs,Video (VHS): Juv Multi Vol,ItemType,Media,Video Tape,Miscellaneous,,Juvenile
nabocd,NA-Books in CD Format,ItemCollection,Media,Audiobook Disc,Fiction,,Adult
cs1malf,CS 1 - MOB Large Print Fiction,ItemCollection,Print,Book,Fiction,,Adult
nainv,NA-Investment Collection,ItemCollection,Print,Book,Nonfiction,,Adult
ncper,NC-Children's Magazine,ItemCollection,Print,Periodical,Miscellaneous,,Juvenile
capero,CA7-Oversize Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
ncbocd,NC-Children's Books on CD,ItemCollection,Media,Audiobook Disc,Fiction,,Juvenile
swbib,Catalog,ItemCollection,Other,,Miscellaneous,,Adult
cs9ssl,CS 9 - Seattle Short and Long,ItemCollection,Print,Book,Miscellaneous,,Adult
jckit,Kit: Juv,ItemType,Media,Kit,Miscellaneous,,Juvenile
camapa,CA9-Map Room Alcove,ItemCollection,Print,Book,,,Adult
jrmus,Song Book: Ref Juv,ItemType,Print,Book,Reference,,Juvenile
nybocd,NY-Teen - Books on CD,ItemCollection,Media,Audiobook Disc,Fiction,,Teen
cs7o,CS 7 - Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
cawa,CA0-WaAuthors,ItemCollection,Print,Book,Fiction,,Adult
naeslc,NA-ESL-Citizenship,ItemCollection,Print,Book,Miscellaneous,,Adult
cs1fic,CS 3 - Fiction,ItemCollection,Print,Book,Fiction,,Adult
nanrc,NA-Neighborhood Resource Center,ItemCollection,Print,Book,Miscellaneous,,Adult
ncaavid,Afam - Juv. Video,ItemCollection,Media,Video Tape,Fiction,,Juvenile
naatlas,NA-Atlases,ItemCollection,Print,Book,Nonfiction,,Adult
nacasnf,NA-Cassettes Nonfiction,ItemCollection,Media,Audio Tape,Nonfiction,,Adult
nclp,NC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print,Juvenile
wabk,WTBBL-Standard Book,ItemCollection,Print,Book,WTBBL,,Adult
ch1mcrf,CH1 - MOB Children's Reference,ItemCollection,Print,Book,Miscellaneous,,Juvenile
naautor,NA-Auto Coll-Ref.,ItemCollection,Print,Book,Reference,,Adult
qspero,QAS Periodicals - Oversize,ItemCollection,Print,Periodical,Miscellaneous,,Adult
sybk,Online Resource--Teen,ItemCollection,Electronic,,Miscellaneous,,Teen
bccd,Book On CD: Rec Book Adult/Formerly No Fine,ItemType,Media,Audiobook Disc,Miscellaneous,,Adult
ncb,NC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography,Juvenile
naesli,NA-Eng Second Lang (Int),ItemCollection,Print,Book,Miscellaneous,,Adult
cs6r,CS 6 - Ref,ItemCollection,Print,Book,Reference,,Adult
ccvidnf,"CC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,,Juvenile
nakit,NA-Adult Kits,ItemCollection,Media,Kit,Miscellaneous,,Adult
caeslr,CA1-ESL Reference,ItemCollection,Print,Book,Reference,,Adult
cascook,CA-Seattle Cooks,ItemCollection,Print,Book,Miscellaneous,,Adult
ncpro,NC--Children's Professional,ItemCollection,Print,Book,Miscellaneous,,Juvenile
acart,Framed Art: Adult/YA,ItemType,Media,Art,Miscellaneous,,Adult
ccef,CC-Children's Easy Fiction,ItemCollection,Print,Book,Fiction,,Juvenile
xrper,Mag Article: Analytic Record,ItemType,Other,Periodical,Analytic,,Adult
naclnf,NA-Classics (Nonfiction),ItemCollection,Print,Book,Nonfiction,,Adult
nadocl,NA-Local Docs,ItemCollection,Print,Document,Miscellaneous,,Adult
ncholsk,NC-Children's Holiday-STK,ItemCollection,Print,Book,Fiction,Holiday,Juvenile
cs6pero,"CS 6 - Magazines, Oversize",ItemCollection,Print,Periodical,Miscellaneous,,Adult
cafic,CA3-Fiction,ItemCollection,Print,Book,Fiction,,Adult
nadocr,NA-Government Documents/Reference,ItemCollection,Print,Document,Reference,,Adult
naaanew,AfAm - New,ItemCollection,Print,Book,Fiction,,Adult
calndvd,"CA1-DVD, Language",ItemCollection,Media,Video Disc,Language,,Adult
arrec,Record: Ref Adult/YA,ItemType,Media,Audio Disc,Reference,,Adult
capermf,CA6-Microform - Periodical,ItemCollection,Print,Periodical,Miscellaneous,,Adult
sxdmya,DO NOT USE - ACQ Dummy For Serials,ItemCollection,Other,Periodical,Temporary,,Adult
cadocr,CA6-Ref Documents,ItemCollection,Print,Document,Reference,,Adult
ccaward,CC-Children's Newbery/Caldecott,ItemCollection,Print,Book,Fiction,,Juvenile
cs9gf,REF-Ask at Level 9 Genealogy Desk (CS9Gf),ItemCollection,Print,Book,Reference,,Adult
cynew,CY3-Teen New Books,ItemCollection,Print,Book,Fiction,,Teen
cacdr,"CA7-CDROM, Nonfiction",ItemCollection,Media,Data Disc,Nonfiction,,Adult
acmap,Map: Adult/YA,ItemType,Print,,Miscellaneous,,Adult
caaeroc,Cs9-AERO Valmat,ItemCollection,Print,Book,Nonfiction,,Adult
cs8o,CS 8 - Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
naover,NA-Oversize,ItemCollection,Print,Book,Nonfiction,,Adult
nycomic,NY-Teen - Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,Comic,Teen
cagrsat,"CA5-Ref-Atlas, GRS",ItemCollection,Print,Book,Miscellaneous,,Adult
arvhs,Video (VHS): Ref Adult/YA,ItemType,Media,Video Tape,Reference,,Adult
ncnew,NC-Children's New Materials,ItemCollection,Print,Book,Fiction,,Juvenile
naauto,NA-Auto Collection,ItemCollection,Print,Book,Nonfiction,,Adult
walpper,WTBBL--Large Print/Magazine,ItemCollection,Print,Periodical,WTBBL,Large Print,Adult
bckit,Kit: Adult Formerly No Fine,ItemType,Media,Kit,Miscellaneous,,Adult
arper,Magazine: Ref Adult/ya,ItemType,Print,Periodical,Reference,,Adult
cacasnf,"CA7-Cassettes, Nonfiction",ItemCollection,Media,Audio Tape,Nonfiction,,Adult
jccd,CD: Juv,ItemType,Media,Audio Disc,Miscellaneous,,Juvenile
dcilll,Ill Lending,ItemType,Other,,Interlibrary Loan,,Adult
bcper,Magazine: Adult/Formerly No Fine,ItemType,Print,Periodical,Miscellaneous,,Adult
cs6sof,CS 6 - Federal Depository Media,ItemCollection,Print,Book,Miscellaneous,,Adult
casbr,CA7-Small Business Reference,ItemCollection,Print,Book,Reference,,Adult
camus,CA8-Music Score,ItemCollection,Print,Music Score,Nonfiction,,Adult
cyfic,CY3-Teen Fiction,ItemCollection,Print,Book,Fiction,,Teen
nacon,NA-Consumer,ItemCollection,Print,Book,Nonfiction,,Adult
calpnf,CA3-Large Print Nonfiction,ItemCollection,Print,Book,Nonfiction,Large Print,Adult
ncenf,NC-Easy Nonfiction,ItemCollection,Print,Book,Nonfiction,,Juvenile
ccpic,CC-Children's Picture Books,ItemCollection,Print,Book,Fiction,Picture,Juvenile
cakitnf,"CA7-Kit, Nonfiction",ItemCollection,Media,Kit,Nonfiction,,Adult
ncbb,NC-Children's Board Books,ItemCollection,Print,Book,Fiction,Picture,Juvenile
ardisk,Diskette: Ref Adult/YA,ItemType,Media,Data Disc,Reference,,Adult
cavalo,CA0-Valuable Mater. Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
caref7,CA7-SCT Room Reference,ItemCollection,Print,Book,Reference,,Adult
cyref,CY3-Teen Reference,ItemCollection,Print,Book,Reference,,Teen
qsper,QAS Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
acrec,Record: Adult/YA,ItemType,Media,Audio Disc,Miscellaneous,,Adult
nyref,NY-Teen - Reference,ItemCollection,Print,Book,Reference,,Teen
ccln,CC-Children's Languages,ItemCollection,Print,Book,Language,,Juvenile
nceck,NC-Early Child.Ed.Kit,ItemCollection,Media,Kit,Miscellaneous,,Juvenile
armus,Music Score: Ref Adult/ya,ItemType,Print,Music Score,Reference,,Adult
narcr,NA-Readers' Corner - Ref.,ItemCollection,Print,Book,Reference,,Adult
nybot,NY-Teen - Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Teen
ackit,Kit: Adult/YA,ItemType,Media,Kit,Miscellaneous,,Adult
casoft,CS 6 - Software,ItemCollection,Media,Data Disc,Miscellaneous,,Adult
cacon,CA7-Ref-Consumer,ItemCollection,Print,Book,Reference,,Adult
acmus,Music Score: Adult/ya,ItemType,Print,Music Score,Miscellaneous,,Adult
nahmwk,NA-Homework,ItemCollection,Print,Book,Nonfiction,,Adult
cadocmf,CA6-Microform - Documents,ItemCollection,Media,Document,Miscellaneous,,Adult
cab,CA9-Biography,ItemCollection,Print,Book,Nonfiction,Biography,Adult
naholr,NA-Holiday - Adult - Ref,ItemCollection,Print,Book,Fiction,Holiday,Adult
cceck,"CC-Kit, Begin With Books",ItemCollection,Print,Book,Miscellaneous,,Juvenile
napb,NA-Paperbacks,ItemCollection,Print,Book,Fiction,,Adult
sxcdr,CD-ROM Analytic - Dummy,ItemCollection,Other,Data Disc,Temporary,,Adult
caref8,CA8-ARL Room Reference,ItemCollection,Print,Book,Reference,,Adult
cybocd,CY3-Teen Compact Disc,ItemCollection,Media,Audiobook Disc,Fiction,,Teen
navidgr,NA-Video Guides-Reference,ItemCollection,Print,Book,Reference,,Adult
caseapm,CA0-Seattle Room Pamphlet File,ItemCollection,Print,Book,Miscellaneous,,Adult
drtest,Testing,ItemType,Other,,Temporary,,Adult
naengr,Engravers,ItemCollection,Print,Book,Miscellaneous,,Adult
unkn,Qas-use Limited To Central Library,ItemCollection,Other,,Temporary,,Adult
caperds,CA6-Current Magazine Display Shelves,ItemCollection,Print,Periodical,Miscellaneous,,Adult
cadesk3,CS 3 - Ref Fiction,ItemCollection,Print,Book,Reference,,Adult
alaptop,Laptop: Hourly Circulating,ItemType,Equipment,,Miscellaneous,,Adult
ncrec,NC-Children's Records,ItemCollection,Media,Audio Disc,Nonfiction,,Juvenile
cagd,CA 9 Genealogy Desk,ItemCollection,Print,Book,Reference,,Adult
arcdrom,CD-ROM: Ref Adult/YA,ItemType,Media,Data Disc,Reference,,Adult
cs9g,REF-Ask at Level 9 Genealogy Desk (CS9G),ItemCollection,Print,Book,Reference,,Adult
naeslbr,NA-Eng Second Lang (Beg REF),ItemCollection,Print,Book,Reference,,Adult
accas,Audio Tape: Adult/YA,ItemType,Media,Audio Tape,Miscellaneous,,Adult
cs9,CS 9,ItemCollection,Print,Book,Miscellaneous,,Adult
ncedu,NC-Educator Shelf,ItemCollection,Print,Book,Miscellaneous,,Juvenile
ardvd,DVD: Ref Adult/YA,ItemType,Media,Video Disc,Reference,,Adult
nawest,NA-Westerns,ItemCollection,Print,Book,Fiction,,Adult
cs9sf,CS 9 - Seattle Folio,ItemCollection,Print,Book,Miscellaneous,,Adult
arkit,Kit: Ref Adult/YA,ItemType,Media,Kit,Reference,,Adult
pkbknh,Peak Picks Book,ItemType,Print,Book,Fiction,Peak Picks,Adult
areqnh,Equipment (disabled) No Holds/No Loan,ItemType,Equipment,,Reference,,Adult
drord,On Order: Ref Order,ItemType,Other,,On Order,,Adult
najob,NA-Job And Education,ItemCollection,Print,Book,Nonfiction,,Adult
cs7l,CS 7 - Limit,ItemCollection,Print,Book,Miscellaneous,,Adult
nccd,NC-Children's CDs,ItemCollection,Media,Audio Disc,Nonfiction,,Juvenile
caref9,CA9-HTM Room Reference,ItemCollection,Print,Book,Reference,,Adult
arphoto,Photographs: Ref Adult/ya,ItemType,Media,Art,Reference,,Adult
nastk,Stacks - Backroom,ItemCollection,Print,Book,Miscellaneous,,Adult
nylp,NY-Teen Large Print,ItemCollection,Print,Book,Fiction,Large Print,Teen
cag,CA 9 Genealogy,ItemCollection,Print,Book,Miscellaneous,,Adult
nalpnf,NA-Large Print Nonfiction,ItemCollection,Print,Book,Nonfiction,Large Print,Adult
jrweb,Web Site: Ref Juv,ItemType,Electronic,,Reference,,Juvenile
cabot,"CA3-Books on Tape, Fiction",ItemCollection,Media,Audiobook Tape,Fiction,,Adult
caseao,CA0-Seattle Room Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
acdvd,DVD: Adult/YA,ItemType,Media,Video Disc,Miscellaneous,,Adult
ahmfm,Microfilm: Adult/YA No Hold,ItemType,Media,Film,Miscellaneous,,Adult
cainter,CA6-International Reference,ItemCollection,Print,Book,Miscellaneous,,Adult
ncaward,NC-Children's-Newbery/Caldecott,ItemCollection,Print,Book,Fiction,,Juvenile
caread,CA1-READ,ItemCollection,Print,Book,Miscellaneous,,Adult
accdrom,CD-ROM: Adult/YA,ItemType,Media,Data Disc,Miscellaneous,,Adult
ucunkn,Uncataloged Material,ItemType,Print,Book,Uncataloged,,Adult
cadesk9,"CA9-RefDesk, HTM",ItemCollection,Print,Book,Reference,,Adult
navidg,NA-Video Guides,ItemCollection,Print,Book,Nonfiction,,Adult
ccdvdnf,"CC-Children's DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,,Juvenile
cs7a,CS 7 - Aero,ItemCollection,Print,Book,Miscellaneous,,Adult
ccfic,CC-Children's Fiction,ItemCollection,Print,Book,Fiction,,Juvenile
cainv,CA7-Investment Reference,ItemCollection,Print,Book,Miscellaneous,,Adult
xrmus,Music Score: Analytic Bound,ItemType,Other,Music Score,Analytic,,Adult
jcmus,Song Book: Bound Juv,ItemType,Print,Book,Miscellaneous,,Juvenile
cacdrr,"CS 6-CDROM, Reference (CS6)",ItemCollection,Media,Data Disc,Reference,,Adult
cs7ao,CS 7 - Aero Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
nadesk,NA-Reference Desk,ItemCollection,Print,Book,Reference,,Adult
ncvid,NC-Children's Videos,ItemCollection,Media,Video Tape,Fiction,,Juvenile
arunkn,Other: Ref Adult/YA,ItemType,Print,,Reference,,Adult
acvid,Video: Adult/YA,ItemType,Media,Video Tape,Miscellaneous,,Adult
atablet,Tablet computer,ItemType,Equipment,,Miscellaneous,,Adult
jrkit,Kit: Ref Juv,ItemType,Media,Kit,Reference,,Juvenile
nadvdnf,"NA-DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,,Adult
nasoft,NA-Software,ItemCollection,Media,Data Disc,Miscellaneous,,Adult
napersk,NA-Periodicals - Stack,ItemCollection,Print,Periodical,Miscellaneous,,Adult
arslide,Slides: Ref Adult/YA,ItemType,Media,Film,Reference,,Adult
calncas,"CA1-Cassette, Language",ItemCollection,Media,Audio Tape,Language,,Adult
natxt,NA-School Textbooks,ItemCollection,Print,Book,Nonfiction,,Adult
cadocpt,CA6-Poster - DOC,ItemCollection,Media,Document,Miscellaneous,,Adult
ahbk,Book: Adult/YA: No Hold,ItemType,Print,Book,Miscellaneous,,Adult
jcdvd,DVD: Juv Circulating,ItemType,Media,Video Disc,Miscellaneous,,Juvenile
syorder,Teen On Order,ItemCollection,Other,,On Order,,Teen
calnvid,"CA1-Video, Language",ItemCollection,Media,Video Tape,Language,,Adult
cadoc,CA6-Documents,ItemCollection,Print,Document,,,Adult
napass,NA-Discovery Pass,ItemCollection,Media,Pass,Miscellaneous,,Adult
ccover,Oversized Materials: Juv,ItemCollection,Print,Book,Nonfiction,,Juvenile
capass,CA-Discovery Pass,ItemCollection,Media,Pass,Miscellaneous,,Adult
lock2,Ranier Beach Hold Pickup Locker,Location,,,,,
lock1,High Point Hold Pickup Locker,Location,,,,,
acpass,Discover Pass: Adult/YA,ItemType,Media,Pass,Miscellaneous,,Adult
